Name 1,Name 1 Position,Name 2,Name 2 Position,Weight,Relation Type,Relation Type (Specific),Date Precise,Date General,Papyri No.,Location
Georgios 12,,Phoibammon 1,,66,Financial (Land),Financial (Land),540,540.0,P.Michael. 45,Aphrodito
Ioannes 55,,Phoibammon 1,,66,Financial (Land),Financial (Land),540,540.0,P.Michael. 45,Aphrodito
Kollouthos 28,,Phoibammon 1,,66,Financial (Land),Financial (Land),540,540.0,P.Michael. 45,Aphrodito
Menas 37,,Phoibammon 1,,66,Financial (Land),Financial (Land),540,540.0,P.Michael. 45,Aphrodito
Aineias 1,,Apollos 103,,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Kollouthos 27,Aristocrat/Government Officials,Apollos 103,,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Kollouthos 27,Aristocrat/Government Officials,Apollos 103,,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Aineias 1,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease-Ancestral,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Aineias 1,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Apollos 103,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Biktor 138,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Ioannes 129,Aristocrat/Government Officials,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Ioannes 129,Aristocrat/Government Officials,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Ioubinos 1,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Kollouthos 27,Aristocrat/Government Officials,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Kollouthos 27,Aristocrat/Government Officials,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Kuros 16,Domestic Worker,Apollos 2,Aristocrat/Government Officials,,Lease,Lease-Ancestral,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Megas 8,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Megas 8,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Menas 38,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Menas 38,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Nemesianos 3,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Nemesianos 3,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Phib 10,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Kuros 2,,Biktor 138,,,Lease,Lease-Ancestral,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Megas 8,,Ioubinos 1,,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Megas 8,,Ioubinos 1,,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Aineias 1,,Kollouthos 27,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Apollos 103,,Kollouthos 27,Aristocrat/Government Officials,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Nemesianos 3,,Menas 38,,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Nemesianos 3,,Menas 38,,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Ioannes 129,Aristocrat/Government Officials,Phib 10,,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Ioannes 129,Aristocrat/Government Officials,Phib 10,,,Lease,Lease,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Abraam 3,Commoner,Apollos 103,,,Legal,Legal,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Ieremias 15,,Apollos 103,,,Legal,Legal,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Anonymous 78,,Apollos 2,Aristocrat/Government Officials,,Legal,Legal,540,540.0,P.Lond. 5.1681,Aphrodito
Ioannes 145,,Ioubinos 1,,,Legal,Legal,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Phoibammon 101,Craftsman,Menas 38,,,Legal,Legal,540,540.0,P.Cair.Masp. 3.67327,Aphrodito
Anonymous 78,,Senouthes 17,Aristocrat/Government Officials,,Legal Participant,Legal Participant,540,540.0,P.Lond. 5.1681,Aphrodito
Ammonios 1,,Apollos 2,Aristocrat/Government Officials,,Political,Political,540,540.0,P.Cair.Masp. 3.67323,Aphrodito
Ammonios 1,,Apollos 37,,,Political,Political,540,540.0,P.Cair.Masp. 3.67323,Aphrodito
Senouthes 1,Commoner,Apollos 37,,,Political,Political,540,540.0,P.Cair.Masp. 3.67323,Aphrodito
Ammonios 1,,Senouthes 1,Commoner,,Political,Political,540,540.0,P.Cair.Masp. 3.67323,Aphrodito
Apollos 37,,Senouthes 1,Commoner,,Political,Political,540,540.0,P.Cair.Masp. 3.67323,Aphrodito
Maximos 3,Domestic Worker,Anastasios 4,Merchant,480,Financial,Financial,541,541,P.Cair.Masp. 2.67126,Aphrodito
Olubrios 1,,Anastasios 4,Merchant,480,Financial,Financial,541,541,P.Cair.Masp. 2.67126,Aphrodito
Anastasios 4,Merchant,Apollos 2,Aristocrat/Government Officials,480,Financial,Financial,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Biktor 8,,Apollos 2,Aristocrat/Government Officials,480,Financial,Financial,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Maximos 3,Domestic Worker,Apollos 2,Aristocrat/Government Officials,480,Financial,Financial,541,541,P.Cair.Masp. 2.67126,Aphrodito
Olubrios 1,,Apollos 2,Aristocrat/Government Officials,480,Financial,Financial,541,541,P.Cair.Masp. 2.67126,Aphrodito
Thomas 8,,Apollos 2,Aristocrat/Government Officials,480,Financial,Financial,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Anastasios 4,Merchant,Biktor 8,,480,Financial,Financial,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Apollos 2,Aristocrat/Government Officials,Biktor 8,,480,Financial,Financial,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Maximos 3,Domestic Worker,Biktor 8,,480,Financial,Financial,541,541,P.Cair.Masp. 2.67126,Aphrodito
Olubrios 1,,Biktor 8,,480,Financial,Financial,541,541,P.Cair.Masp. 2.67126,Aphrodito
Thomas 8,,Biktor 8,,480,Financial,Financial,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Sanos 1,,Menas 39,,480,Financial,Financial,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Menas Ioustinianos Demosthenes Ioannes Thomas 1,,Anonymous 83,,,Fiscal,Fiscal,541,541.0,P.Cair.Masp. 3.67320,Aphrodito
Menas Ioustinianos Demosthenes Ioannes Thomas 1,,Anonymous 83,,,Lease,Lease,541,541.0,P.Cair.Masp. 3.67320,Aphrodito
Herma(o)(u)os 88,,Charisios 5,Commoner,,Lease,Lease,541,541.0,P.Bingen 132,Aphrodito
Charisios 5,Commoner,Herma(o)(u)os 88,,,Lease,Lease,541,541.0,P.Bingen 132,Aphrodito
Maximos 3,Domestic Worker,Anastasios 4,Merchant,480,Legal,Legal,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Olubrios 1,,Anastasios 4,Merchant,480,Legal,Legal,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Maximos 3,Domestic Worker,Apollos 2,Aristocrat/Government Officials,480,Legal,Legal,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Olubrios 1,,Apollos 2,Aristocrat/Government Officials,480,Legal,Legal,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Maximos 3,Domestic Worker,Biktor 8,,480,Legal,Legal,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Olubrios 1,,Biktor 8,,480,Legal,Legal,541,541.0,P.Cair.Masp. 2.67126,Aphrodito
Ieremias 16,,Charisios 5,Commoner,,Legal,Legal,541,541.0,P.Bingen 132,Aphrodito
Ieremias 16,,Herma(o)(u)os 88,,,Legal,Legal,541,541.0,P.Bingen 132,Aphrodito
Menas 36,,Herma(o)(u)os 88,,,Legal,Legal,541,541.0,P.Bingen 132,Aphrodito
Timotheos 7,,Anastasios 5,Farm worker,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Anastasios 5,Farm worker,Apollos 2,Aristocrat/Government Officials,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,?
D....asios 1,,Apollos 2,Aristocrat/Government Officials,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,?
Timotheos 7,,Apollos 2,Aristocrat/Government Officials,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Anastasios 5,Farm worker,Biktor 165,Craftsman,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Anastasios 5,Farm worker,Biktor 165,Craftsman,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Apollos 2,Aristocrat/Government Officials,Biktor 165,Craftsman,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Antinoopolis
D....asios 1,,Biktor 165,Craftsman,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Ischurion 2,,Biktor 165,Craftsman,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Theodosios 13,Commoner,Biktor 165,Craftsman,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Timotheos 7,,Biktor 165,Craftsman,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Anastasios 5,Farm worker,D....asios 1,,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Antinoopolis
Timotheos 7,,D....asios 1,,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Anastasios 5,Farm worker,Ischurion 2,,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Antinoopolis
Timotheos 7,,Ischurion 2,,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Anastasios 5,Farm worker,Senouthes 21,,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Biktor 165,Craftsman,Senouthes 21,,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Antinoopolis
Ischurion 2,,Senouthes 21,,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Theodosios 13,Commoner,Senouthes 21,,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Timotheos 7,,Senouthes 21,,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Anastasios 5,Farm worker,Theodosios 13,Commoner,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,?
Ischurion 2,,Theodosios 13,Commoner,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,?
Timotheos 7,,Theodosios 13,Commoner,11518,Financial,Financial,542,542,P.Cair.Masp. 3.67286,Aphrodito
Dioskoros 3,Aristocrat/Government Officials,Anonymous 84,Commoner,,Legal Participant,Legal Participant,543,543,P.Cair.Masp. 1.67087,Aphrodito
Kollouthos 14,,Anonymous 84,Commoner,,Legal Participant,Legal Participant,543,543,P.Cair.Masp. 1.67087,Aphrodito
Kollouthos 14,,Dioskoros 3,Aristocrat/Government Officials,,Legal Participant,Legal Participant,543,543,P.Cair.Masp. 1.67087,Aphrodito
Kollouthos 14,,Makarios 41,Aristocrat/Government Officials,,Legal Participant,Legal Participant,543,543,P.Cair.Masp. 1.67087,Aphrodito
Anonymous 87,Domestic Worker,Anonymous 85,,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Tsepnas 1,,Anonymous 85,,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Amaïs 1,Merchant,Apollos 125,,0.33,Financial,Financial,544,544,P.Cair.Masp. 2.67127,Aphrodito
Dioskoros 3,Aristocrat/Government Officials,Apollos 125,,0.33,Financial,Financial,544,544.0,P.Cair.Masp. 2.67127,Aphrodito
Ioannes 156,,Apollos 125,,0.33,Financial,Financial,544,544,P.Cair.Masp. 2.67127,Aphrodito
Math(e)ias 21,Farm worker,Apollos 125,,0.33,Financial,Financial,544,544,P.Cair.Masp. 2.67127,Aphrodito
Theoteknos 1,,Apollos 125,,0.33,Financial,Financial,544,544,P.Cair.Masp. 2.67127,Aphrodito
Anonymous 85,,Apollos 2,Aristocrat/Government Officials,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Anonymous 87,Domestic Worker,Apollos 2,Aristocrat/Government Officials,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Apollos 2,Aristocrat/Government Officials,Apollos 2,Aristocrat/Government Officials,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Biktor 8,,Apollos 2,Aristocrat/Government Officials,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Biktor 8,,Apollos 2,Aristocrat/Government Officials,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Senouthes 1,Commoner,Apollos 2,Aristocrat/Government Officials,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Senouthes 1,Commoner,Apollos 2,Aristocrat/Government Officials,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Tsepnas 1,,Apollos 2,Aristocrat/Government Officials,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Anonymous 85,,Biktor 8,,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Anonymous 87,Domestic Worker,Biktor 8,,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Apollos 2,Aristocrat/Government Officials,Biktor 8,,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Senouthes 1,Commoner,Biktor 8,,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Tsepnas 1,,Biktor 8,,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Amaïs 1,Merchant,Dioskoros 3,Aristocrat/Government Officials,0.33,Financial,Financial,544,544,P.Cair.Masp. 2.67127,Aphrodito
Ioannes 156,,Dioskoros 3,Aristocrat/Government Officials,0.33,Financial,Financial,544,544,P.Cair.Masp. 2.67127,Aphrodito
Math(e)ias 21,Farm worker,Dioskoros 3,Aristocrat/Government Officials,0.33,Financial,Financial,544,544,P.Cair.Masp. 2.67127,Aphrodito
Anonymous 85,,Senouthes 1,Commoner,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Anonymous 87,Domestic Worker,Senouthes 1,Commoner,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Apollos 2,Aristocrat/Government Officials,Senouthes 1,Commoner,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Biktor 8,,Senouthes 1,Commoner,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Tsepnas 1,,Senouthes 1,Commoner,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Anonymous 85,,Tsepnas 1,,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Anonymous 87,Domestic Worker,Tsepnas 1,,72,Financial,Financial,544,544.0,P.Mich. 13.669,Aphrodito
Abraam 6,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,544,544,P.Cair.Masp. 1.67112,Aphrodito
Phoibammon 79,,Apollos 2,Aristocrat/Government Officials,,Lease,Lease,544,544.0,P.Cair.Masp. 1.67112,Antinoopolis
Abraam 6,,Phoibammon 79,,,Lease,Lease,544,544,P.Cair.Masp. 1.67112,Aphrodito
Apollos 2,Aristocrat/Government Officials,Phoibammon 79,,,Lease,Lease,544,544.0,P.Cair.Masp. 1.67112,Antinoopolis
Kurikos 7,,Phoibammon 79,,,Lease,Lease,544,544,P.Cair.Masp. 1.67112,Aphrodito
Amaïs 1,Merchant,Apollos 125,,0.33,Legal,Legal,544,544.0,P.Cair.Masp. 2.67127,Aphrodito
Ioannes 156,,Apollos 125,,0.33,Legal,Legal,544,544.0,P.Cair.Masp. 2.67127,Aphrodito
Math(e)ias 21,Farm worker,Apollos 125,,0.33,Legal,Legal,544,544.0,P.Cair.Masp. 2.67127,Aphrodito
Theoteknos 1,,Apollos 125,,0.33,Legal,Legal,544,544.0,P.Cair.Masp. 2.67127,Aphrodito
Abraam 6,,Apollos 2,Aristocrat/Government Officials,,Legal,Legal,544,544.0,P.Cair.Masp. 1.67112,Antinoopolis
Amaïs 1,Merchant,Dioskoros 3,Aristocrat/Government Officials,0.33,Legal,Legal,544,544.0,P.Cair.Masp. 2.67127,Aphrodito
Ioannes 156,,Dioskoros 3,Aristocrat/Government Officials,0.33,Legal,Legal,544,544.0,P.Cair.Masp. 2.67127,Aphrodito
Math(e)ias 21,Farm worker,Dioskoros 3,Aristocrat/Government Officials,0.33,Legal,Legal,544,544.0,P.Cair.Masp. 2.67127,Aphrodito
Abraam 6,,Phoibammon 79,,,Legal,Legal,544,544.0,P.Cair.Masp. 1.67112,Antinoopolis
Kurikos 7,,Phoibammon 79,,,Legal,Legal,544,544.0,P.Cair.Masp. 1.67112,Antinoopolis
Ammonios 1,,Apollos 2,Aristocrat/Government Officials,8,Financial,Financial,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Ammonios 1,,Psai(o)s 68,,8,Financial,Financial,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Apollos 2,Aristocrat/Government Officials,Psai(o)s 68,,8,Financial,Financial,545,545.0,P.Ross.Georg. 3.37,Aphrodito
B.[....]o[.] 1,Commoner,Ammonios 1,,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Ioannes 31,,Ammonios 1,,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Kuros 8,,Ammonios 1,,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
B.[....]o[.] 1,Commoner,Apollos 2,Aristocrat/Government Officials,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Ioannes 31,,Apollos 2,Aristocrat/Government Officials,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Kuros 8,,Apollos 2,Aristocrat/Government Officials,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Apollos 110,Domestic Worker,Psai(o)s 68,,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
B.[....]o[.] 1,Commoner,Psai(o)s 68,,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Ioannes 31,,Psai(o)s 68,,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Kuros 8,,Psai(o)s 68,,8,Legal,Legal,545,545.0,P.Ross.Georg. 3.37,Aphrodito
Ieremias 5,,DIoskoros 3,,,Financial,Financial,547,547.0,P.Cair.Masp. 1.67118,Aphrodito
Makarios 46,,Biktor 8,,,Financial (Land),Financial (Land)-Ancestral,547,547.0,SB 18.13297,Aphrodito
Dioskoros 3,Aristocrat/Government Officials,Ieremias 5,,,Financial (Land),Financial (Land),547,547.0,P.Cair.Masp. 1.67118,Aphrodito
Tanoube 2,,Makarios 46,,,Financial (Land),Financial (Land),547,547,SB 18.13297,Aphrodito
Makarios 46,,Tanoube 2,,,Financial (Land),Financial (Land),547,547,SB 18.13297,Aphrodito
Apollos 2,Aristocrat/Government Officials,Apollos 112,,,Lease,Lease-Ancestral,547,547,P.Cair.Masp. 1.67108,Aphrodito
Dioskoros 3,Aristocrat/Government Officials,Apollos 112,,,Lease,Lease,547,547,P.Cair.Masp. 1.67108,Aphrodito
Epimachos 1,,Apollos 112,,,Lease,Lease,547,547,P.Cair.Masp. 1.67108,Aphrodito
Phoibammon 1,,Apollos 112,,,Lease,Lease,547,547,P.Cair.Masp. 1.67108,Aphrodito
Abraam 3,Commoner,Dioskoros 3,Aristocrat/Government Officials,22,Lease,Lease,547,547,P.Cair.Masp. 2.67128,Antinoopolis
Abraam 50,,Dioskoros 3,Aristocrat/Government Officials,,Lease,Lease,547,547.0,P.Cair.Masp. 1.67118,Aphrodito
Apollos 2,Aristocrat/Government Officials,Dioskoros 3,Aristocrat/Government Officials,,Lease,Lease-Ancestral,547,547,P.Cair.Masp. 1.67108,Aphrodito
Horouogchi(o)s 7,,Dioskoros 3,Aristocrat/Government Officials,22,Lease,Lease,547,547,P.Cair.Masp. 2.67128,Antinoopolis
Pilatos 1,,Dioskoros 3,Aristocrat/Government Officials,22,Lease,Lease,547,547,P.Cair.Masp. 2.67128,Antinoopolis
Theoteknos 1,,Dioskoros 3,Aristocrat/Government Officials,22,Lease,Lease,547,547,P.Cair.Masp. 2.67128,Antinoopolis
Apollos 112,,Epimachos 1,,,Lease,Lease,547,547,P.Cair.Masp. 1.67108,Aphrodito
Apollos 2,Aristocrat/Government Officials,Epimachos 1,,,Lease,Lease-Ancestral,547,547,P.Cair.Masp. 1.67108,Aphrodito
Dioskoros 3,Aristocrat/Government Officials,Epimachos 1,,,Lease,Lease,547,547,P.Cair.Masp. 1.67108,Aphrodito
Phoibammon 1,,Epimachos 1,,,Lease,Lease,547,547,P.Cair.Masp. 1.67108,Aphrodito
Apollos 2,Aristocrat/Government Officials,Phoibammon 1,,,Lease,Lease-Ancestral,547,547,P.Cair.Masp. 1.67108,Aphrodito
Abraam 3,Commoner,Psai(o)s 72,,22,Lease,Lease,547,547,P.Cair.Masp. 2.67128,Antinoopolis
Dioskoros 3,Aristocrat/Government Officials,Psai(o)s 72,,22,Lease,Lease,547,547.0,P.Cair.Masp. 2.67128,Aphrodito
Horouogchi(o)s 7,,Psai(o)s 72,,22,Lease,Lease,547,547,P.Cair.Masp. 2.67128,Antinoopolis
Pilatos 1,,Psai(o)s 72,,22,Lease,Lease,547,547,P.Cair.Masp. 2.67128,Antinoopolis
Proma(u)os 5,,Psai(o)s 72,,22,Lease,Lease,547,547,P.Cair.Masp. 2.67128,Antinoopolis
Theoteknos 1,,Psai(o)s 72,,22,Lease,Lease,547,547,P.Cair.Masp. 2.67128,Antinoopolis
Abraam 3,Commoner,Dioskoros 3,Aristocrat/Government Officials,22,Legal,Legal,547,547.0,P.Cair.Masp. 2.67128,Antinoopolis
Horouogchi(o)s 7,,Dioskoros 3,Aristocrat/Government Officials,22,Legal,Legal,547,547.0,P.Cair.Masp. 2.67128,Antinoopolis
Pilatos 1,,Dioskoros 3,Aristocrat/Government Officials,22,Legal,Legal,547,547.0,P.Cair.Masp. 2.67128,Antinoopolis
Theoteknos 1,,Dioskoros 3,Aristocrat/Government Officials,22,Legal,Legal,547,547.0,P.Cair.Masp. 2.67128,Antinoopolis
Abraam 3,Commoner,Psai(o)s 72,,22,Legal,Legal,547,547.0,P.Cair.Masp. 2.67128,Antinoopolis
Horouogchi(o)s 7,,Psai(o)s 72,,22,Legal,Legal,547,547.0,P.Cair.Masp. 2.67128,Antinoopolis
Pilatos 1,,Psai(o)s 72,,22,Legal,Legal,547,547.0,P.Cair.Masp. 2.67128,Antinoopolis
Proma(u)os 5,,Psai(o)s 72,,22,Legal,Legal,547,547.0,P.Cair.Masp. 2.67128,Aphrodito
Theoteknos 1,,Psai(o)s 72,,22,Legal,Legal,547,547.0,P.Cair.Masp. 2.67128,Antinoopolis
Abraam 53,,Herakl(e)ios 33,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Abraam 53,,Ioannes 162,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Herakl(e)ios 33,,Ioannes 162,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Abraam 53,,Ioulianos 2,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Herakl(e)ios 33,,Ioulianos 2,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Ioannes 162,,Ioulianos 2,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Kollouthos 39,,Ioulianos 2,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Phoibammon 118,,Ioulianos 2,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Psan 3,,Ioulianos 2,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Abraam 53,,Kollouthos 39,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Herakl(e)ios 33,,Kollouthos 39,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Ioannes 162,,Kollouthos 39,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Abraam 53,,Phoibammon 118,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Herakl(e)ios 33,,Phoibammon 118,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Ioannes 162,,Phoibammon 118,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Antaiopolis
Kollouthos 39,,Phoibammon 118,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Antaiopolis
Abraam 53,,Psan 3,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Antaiopolis
Herakl(e)ios 33,,Psan 3,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Ioannes 162,,Psan 3,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Kollouthos 39,,Psan 3,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Phoibammon 118,,Psan 3,,,Legal Participant,Legal Participant,547,547,P.Cair.Masp. 3.67354,Aphrodito
Biktor 186,,Biktor 187,,22,Lease,Lease,548,548,P.Cair.Masp. 1.67116,Antinoopolis
Dioskoros 3,Aristocrat/Government Officials,Biktor 187,,22,Lease,Lease,548,548.0,P.Cair.Masp. 1.67116,Aphrodito
Pilatos 1,,Biktor 187,,22,Lease,Lease,548,548,P.Cair.Masp. 1.67116,Antinoopolis
Pilatos 1,,Dioskoros 3,Aristocrat/Government Officials,22,Lease,Lease,548,548,P.Cair.Masp. 1.67116,Antinoopolis
Kuriakos 15,,Apollos 129,Aristocrat/Government Officials,,Legal,Legal,548,548.0,P.Cair.Masp. 1.67095,Aphrodito
Pilatos 1,,Apollos 129,Aristocrat/Government Officials,,Legal,Legal,548,548.0,P.Cair.Masp. 1.67095,Aphrodito
Biktor 186,,Biktor 187,,22,Legal,Legal,548,548.0,P.Cair.Masp. 1.67116,Aphrodito
Pilatos 1,,Biktor 187,,22,Legal,Legal,548,548.0,P.Cair.Masp. 1.67116,Aphrodito
Kuriakos 15,,Dioskoros 3,Aristocrat/Government Officials,,Legal,Legal,548,548.0,P.Cair.Masp. 1.67095,Aphrodito
